pdb_id,min_TYR_dist
9SE9,5.512184143066406
13UF,17.805444717407227
14WB,20.59900665283203
9ZTB,7.256112098693848
22VH,4.08976411819458
9LZS,10.493024826049805
26RC,14.710370063781738
7IMC,8.769540786743164
13UT,16.928247451782227
13UP,14.88306999206543
7IMP,8.089529037475586
9XS6,7.11152458190918
9RWX,3.9269843101501465
13UI,15.737256050109863
9HVZ,6.321226119995117
9S2Q,7.762104511260986
9RUM,8.245378494262695
9NTP,6.579140186309815
9SN7,8.241345405578613
14WH,32.84939193725586
12EM,9.13210391998291
9OPK,6.382842063903809
9FRY,8.198786735534668
9RSF,1.4735603332519531
9WD2,11.894261360168455
35WF,5.896215438842773
9RUN,8.198240280151367
7IMN,9.84428596496582
9Y9O,47.436065673828125
7IMW,8.502495765686035
14VF,29.73137664794922
9TMX,14.449624061584473
9X9Z,4.444614410400391
7ILV,6.208460330963135
28IP,8.871830940246582
14XM,16.574804306030273
9I3B,7.758942604064941
30IX,8.394255638122559
14XE,17.586809158325195
7ILX,8.34477424621582
9RTH,3.1895973682403564
9LZN,10.376978874206545
9PH8,6.203131675720215
9PL4,5.817931175231934
9SQG,6.714822292327881
9T55,9.026336669921877
9TXT,5.264396190643311
9T8G,12.371101379394531
14VK,31.527063369750977
9YUV,7.2176408767700195
9T5E,9.55312442779541
9VYO,5.194250106811523
9XAR,13.191787719726562
14VQ,27.830968856811523
14ZY,27.228679656982425
9RTS,13.29067325592041
14ZG,17.185497283935547
14VM,16.68834114074707
9TBU,12.269135475158691
9TCK,16.378942489624023
9TMR,13.73859691619873
14VG,27.60623550415039
9RUZ,9.264291763305664
10FV,7.583581447601318
14VC,16.629270553588867
9RWC,9.019359588623049
32QR,7.205099105834961
27RD,7.882918357849121
9RY6,10.651885986328123
7IMK,7.9460954666137695
30TL,5.179755210876465
9Q5R,10.205122947692873
9S7H,9.383472442626951
9SBE,8.473752975463867
9RUD,22.945348739624023
9Z5L,6.8911004066467285
9YBS,3.9096274375915527
9VZG,4.132233619689941
9Y7U,6.54743242263794
13DZ,14.728765487670898
13TD,14.05193042755127
28IU,9.012206077575684
9PL6,5.800948143005371
9TFB,8.347281455993652
14XN,34.65305709838867
9RZ6,5.169588088989258
9SZK,10.96773624420166
11SD,10.531697273254396
14VD,21.229785919189453
9Q3Y,5.605661869049072
12LA,2.700906753540039
9RXU,14.33992862701416
9Q4A,10.270139694213867
14XX,28.490537643432617
9WTA,8.397886276245117
9RT5,4.496364593505859
9YUX,6.822988033294678
9W3M,4.024069786071777
9T0U,9.070321083068848
10CX,13.629417419433594
14ZX,16.50520896911621
9HYK,9.163646697998049
13TT,15.983783721923828
9SVM,6.76263952255249
9TDB,9.32785415649414
14YP,29.806028366088867
9HW5,20.586166381835938
7IM9,8.267485618591309
37AS,6.683785438537598
9WUQ,6.829212188720703
9Y7E,10.903470993041992
23EI,9.879375457763672
9TC4,4.343104839324951
9S4A,10.682723999023438
14YY,16.669504165649414
10GA,7.828686714172363
9W3B,11.166930198669434
9RZI,4.077079772949219
9SQ3,5.972574234008789
37BV,11.6132173538208
13TX,13.873655319213867
9RSZ,4.073482036590576
12EZ,6.643824577331543
33FE,4.19335412979126
13US,14.517827987670898
30TA,8.243593215942383
9RVJ,8.240734100341797
14UQ,20.08233070373535
9WA6,8.328662872314453
23EG,10.5303955078125
32RZ,6.662623405456543
9ZRC,5.513670921325684
9Q4C,10.271133422851562
27RE,7.860285758972168
9HW2,20.60348892211914
9VZF,5.436693668365479
9RZP,6.59000825881958
14WW,21.35651397705078
14XC,20.684234619140625
9WDH,6.981777667999268
29AI,10.1083402633667
37ET,13.430549621582031
9S5O,11.505566596984863
7IMS,7.902205467224121
9ZHM,6.798061847686768
30TO,10.958401679992676
26AP,8.858417510986328
9WY0,3.779057741165161
9Y1P,4.483369827270508
9S0K,8.000751495361328
9RZ0,5.560472011566162
13UJ,13.947577476501465
23KS,9.223587989807127
14ZV,27.86351585388184
30TP,5.3145270347595215
13UQ,14.723669052124023
9S4B,6.84683895111084
9TDD,9.368962287902832
9RYY,5.129476547241211
31DG,11.228009223937988
9WGC,10.08377456665039
7IMU,9.350142478942873
9N2P,9.50655746459961
14VN,27.87493133544922
26RV,6.81721305847168
7IML,7.598701000213623
9HW8,7.071725368499756
9RZB,9.202810287475586
9VYN,5.320147514343262
37EU,10.511366844177246
28SZ,9.949200630187988
9RU4,9.104310035705566
9TF9,8.616446495056152
30TW,4.091642379760742
9TFA,9.495078086853027
14VR,27.84564781188965
30TJ,10.463768005371094
9VZ1,5.193833827972412
9X2H,4.488429069519043
7IM4,15.247831344604492
9NYJ,9.182910919189451
9Q4B,10.115142822265623
9RZ1,5.302315711975098
9S40,12.760473251342772
9WOZ,10.012800216674805
13UO,14.216309547424316
7IM2,8.560004234313965
32TC,9.928853034973145
9Z69,14.245152473449709
29AH,10.672237396240234
23EO,20.73692321777344
9TM5,5.2859649658203125
36MB,11.765674591064451
30XX,7.9968342781066895
9LWE,5.691565990447998
9ZRD,6.86722993850708
7ILS,7.984042167663574
28JK,7.157243251800537
9I87,13.569181442260742
9Q5P,5.604269027709961
13UN,17.28245735168457
14XF,20.52265167236328
14VT,29.89583396911621
9S95,10.814109802246094
13UM,14.145709991455078
14XK,29.60557556152344
14VH,16.78692626953125
9R2D,5.233700752258301
9TJU,5.629283905029297
9SI2,8.803925514221191
14UK,18.176916122436523
14XV,28.812536239624023
7IMO,8.956774711608887
9W0A,8.591854095458984
13UX,18.01325225830078
